Period,changes-in-per-cent
1927-04-30,-3.351955
1927-05-31,-2.247191
1927-06-30,-0.564972
1927-07-31,-1.142857
1927-08-31,-1.149425
1927-09-30,-1.142857
1927-10-31,-1.136364
1927-11-30,-2.259887
1927-12-31,-2.259887
1928-01-31,-1.142857
1928-02-29,-1.724138
1928-03-31,-1.156069
1928-04-30,-1.156069
1928-05-31,-1.149425
1928-06-30,-2.840909
1928-07-31,-1.156069
1928-08-31,-0.581395
1928-09-30,0
1928-10-31,-1.149425
1928-11-30,-0.578035
1928-12-31,-1.156069
1929-01-31,-1.156069
1929-02-28,0
1929-03-31,-0.584795
1929-04-30,-1.169591
1929-05-31,-1.162791
1929-06-30,0
1929-07-31,1.169591
1929-08-31,1.169591
1929-09-30,0
1929-10-31,0.581395
1929-11-30,0.581395
1929-12-31,0.584795
1930-01-31,0
1930-02-28,-0.584795
1930-03-31,-0.588235
1930-04-30,0.591716
1930-05-31,-0.588235
1930-06-30,-1.754386
1930-07-31,-4.046243
1930-08-31,-4.624277
1930-09-30,-4.046243
1930-10-31,-4.624277
1930-11-30,-5.202312
1930-12-31,-6.395349
1931-01-31,-7.017544
1931-02-28,-7.647059
1931-03-31,-7.692308
1931-04-30,-8.823529
1931-05-31,-9.467456
1931-06-30,-10.119048
1931-07-31,-9.036145
1931-08-31,-8.484848
1931-09-30,-9.638554
1931-10-31,-9.69697
1931-11-30,-10.365854
1931-12-31,-9.31677
1932-01-31,-10.062893
1932-02-29,-10.191083
1932-03-31,-10.25641
1932-04-30,-10.322581
1932-05-31,-10.457516
1932-06-30,-9.933775
1932-07-31,-9.933775
1932-08-31,-10.596026
1932-09-30,-10.666667
1932-10-31,-10.738255
1932-11-30,-10.204082
1932-12-31,-10.273973
1933-01-31,-9.79021
1933-02-28,-9.929078
1933-03-31,-10
1933-04-30,-9.352518
1933-05-31,-8.029197
1933-06-30,-6.617647
1933-07-31,-3.676471
1933-08-31,-2.222222
1933-09-30,-1.492537
1933-10-31,-0.75188
1933-11-30,0
1933-12-31,0.763359
1934-01-31,2.325581
1934-02-28,4.724409
1934-03-31,5.555556
1934-04-30,5.555556
1934-05-31,5.555556
1934-06-30,5.511811
1934-07-31,2.290076
1934-08-31,1.515152
1934-09-30,3.030303
1934-10-31,2.272727
1934-11-30,2.272727
1934-12-31,1.515152
1935-01-31,3.030303
1935-02-28,3.007519
1935-03-31,3.007519
1935-04-30,3.759398
1935-05-31,3.759398
1935-06-30,2.238806
1935-07-31,2.238806
1935-08-31,2.238806
1935-09-30,0.735294
1935-10-31,1.481481
1935-11-30,2.222222
1935-12-31,2.985075
1936-01-31,1.470588
1936-02-29,0.729927
1936-03-31,0
1936-04-30,-0.724638
1936-05-31,-0.724638
1936-06-30,0.729927
1936-07-31,1.459854
1936-08-31,2.189781
1936-09-30,2.189781
1936-10-31,2.189781
1936-11-30,1.449275
1936-12-31,1.449275
